wallet_address,total_reward,solved_predictions
0x6cA565B1934566596617055D75F2D1B7daac51d3,0.5700,1
0xd8d10abF300356C7915C8d5Db33F0FBdcfD603C7,1.4000,1
0x5A145B9ddfB999D2756fBEDeDD3Bab831097A806,0.9800,1
0x49b75595C0213AAa609c186c1cf230E06e15a3AA,6.5000,1
0xC39f7c89c564Bde6640e0623C7c3Cc4b038CE195,3.2100,1
0xA98A2C1749D9F801305C84aF8F85250cE130A5b7,0.0800,1
0x38D24Dc0A7D2E703bfCe8B42fF736B8d9f2A15a9,1.1900,3
0x20A13F1e2638c9784a031F291943b2A87B3f12A6,3.8000,1
0x2D36295F9FA58Bc9E6be7E7d691E758773C4DFB5,0.3500,1
0xAA74136a1a7DFF4b71d7DF99bABB2B689D832e01,15.5600,9
0x9f3e6825D3677F0228153f01dA1DA9f9a856d688,0.2600,1
0xeEEC5A7c9d04a965724b510f83f34Fa26e32348d,0.0800,1
0x8BE77671c4F09D02c3e7e2dB6F52575b04096D0c,0.0800,1
0x5e403D51B292961c265fF1C0AEaBCb36e428991B,2.7500,4
0x5970B3bbe4D120f6848d16ED03e6D6481A6ece6d,0.2500,1
0x81c60048543fB8553Bc800e9D5F4877a2E1957Fa,1.5300,2
0x57a353650e3894efee89fc2c7A8D924a4F396594,0.5900,2
0x2D96E642268c2DE161fCfb8B4506681627115849,0.3300,2
0x12a105812B3B2cb85b90757aE74e2F0935872d10,0.1600,1
0xD02BAE47fD93325fd0cc3d660B73D8f93C4D7B5E,2.6800,1
0x52bDc2274858e0967cD798254B5925608F26d003,0.2500,1
0x927A1799125EAE57B6BDc573Ee5e0354cD343Db1,0.0200,1
0x2b3d6E0D19c5f9829dc4c9b2a7FFcA38b0c4a176,0.5100,2
0x92D1F1139cFf6C69f12CD9335aB453dD7d436Fd4,0.8500,2
0xC858c8592DC56069a01DD3C0A8AD49204dFc285b,0.3500,1
0xD79c499D9dDabafb1c95A9d85c962158230F92DC,1.1400,2
0x9Ea18aea697f30cf9FB91AAaE5EF11447C5A87c1,0.4200,1
0x8303e9F7b613BdA66072B4aB1faAf9c1e971C9A6,0.3700,1
0x0c1A7c08642864053586fc8fb429F98Dc0CEa6BC,0.9300,3
0xfC20a71b137d100e1e3957a682f81C1b88B5ebD0,57.8400,17
0xAE1A3500497972c071c41d48Fa43830DA20D2581,0.2500,1
0x2D500A9A57894c3984cA300327A8b9f1c372B78B,1.8100,4
0xf10E55b7D6d140185C89098A1d41802B1A2e4640,0.9000,2
0xFD8A26B4f4231752e737a1780CdeD303da50Ea9F,0.7400,2
0x17505958fEB093862d5F2a18F66CCEEe53596e45,1.3900,2
0x30d78bb65c3Ae6A9aa4bB995670DA10D003d0ac1,0.5100,2
0x74fF918395B69122C503E9c3d239cA765672d1D3,0.0400,2
0x1d1A35Ab13FC054030F115602172894b13B17d05,0.0800,1
